epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2291.69,0.86838,0.509,1.04489,0.96582,0.88307,0.9092,0.63543,0.99154,0.4804,1.13629,0.00079521,0.00079521,0.00079521
74,2320.64,0.8487,0.4932,1.0303,0.96742,0.90298,0.97322,0.67976,1.06366,0.50541,1.17722,0.000787365,0.000787365,0.000787365
75,2349.56,0.87522,0.49967,1.0534,0.97832,0.89286,0.95327,0.6427,1.07493,0.53625,1.21532,0.000779464,0.000779464,0.000779464
76,2378.49,0.85388,0.49751,1.03952,0.97698,1,0.99017,0.67355,1.03712,0.43154,1.14765,0.00077151,0.00077151,0.00077151
77,2407.47,0.86212,0.50816,1.03955,0.99599,0.88856,0.94997,0.67812,0.9822,0.52531,1.129,0.000763503,0.000763503,0.000763503
78,2436.65,0.8178,0.47998,1.02505,0.99395,0.90457,0.91121,0.63375,1.00892,0.5247,1.15227,0.000755447,0.000755447,0.000755447
79,2465.51,0.80497,0.47407,1.0278,0.992,0.89286,0.90488,0.63994,1.0653,0.57229,1.17444,0.000747342,0.000747342,0.000747342
80,2494.45,0.8318,0.48909,1.03167,0.99213,0.8779,0.89199,0.6226,1.02049,0.49574,1.15096,0.000739192,0.000739192,0.000739192
81,2523.63,0.84294,0.49271,1.04066,0.98563,0.88702,0.88804,0.64889,0.99549,0.53109,1.17131,0.000730997,0.000730997,0.000730997
82,2552.92,0.82812,0.47833,1.02498,0.97684,0.94278,0.96669,0.70171,0.99088,0.45644,1.13661,0.000722761,0.000722761,0.000722761
83,2581.89,0.80624,0.47613,1.02217,0.98789,0.91315,0.92442,0.66364,0.95832,0.50052,1.11915,0.000714485,0.000714485,0.000714485
84,2610.86,0.82953,0.4582,1.02627,0.97226,0.97425,0.99141,0.70016,0.97264,0.41372,1.1462,0.000706171,0.000706171,0.000706171
85,2639.84,0.84525,0.47262,1.04188,0.99662,0.89679,0.98614,0.69955,0.99234,0.45858,1.16263,0.000697821,0.000697821,0.000697821
86,2669.27,0.82057,0.47686,1.03012,0.99662,0.89286,0.91353,0.64492,0.99931,0.47943,1.16613,0.000689437,0.000689437,0.000689437
87,2698.57,0.82212,0.47809,1.01657,0.99276,0.90476,0.95252,0.66416,0.97401,0.46353,1.16226,0.000681022,0.000681022,0.000681022
88,2728.34,0.81507,0.47563,1.0299,0.99147,0.90839,0.97763,0.69873,0.95108,0.4376,1.13141,0.000672577,0.000672577,0.000672577
89,2759.12,0.81776,0.47746,1.02822,0.99376,0.89764,0.91684,0.65167,1.01913,0.50457,1.15806,0.000664104,0.000664104,0.000664104
90,2789.19,0.83295,0.46635,1.04563,0.99412,0.89286,0.94035,0.66365,0.96247,0.47533,1.13477,0.000655607,0.000655607,0.000655607
91,2818.97,0.7901,0.44911,1.01674,0.99504,0.88095,0.90418,0.62871,1.01818,0.51018,1.17406,0.000647085,0.000647085,0.000647085
92,2848.23,0.82689,0.47568,1.02552,0.99288,0.88095,0.9083,0.62969,1.00879,0.50441,1.14706,0.000638543,0.000638543,0.000638543
93,2877.44,0.78741,0.45602,1.01359,0.98237,0.87945,0.90705,0.63961,1.00559,0.51011,1.14255,0.000629981,0.000629981,0.000629981
94,2906.53,0.80483,0.46505,1.01639,0.99557,0.89286,0.908,0.6299,1.0084,0.47554,1.17042,0.000621403,0.000621403,0.000621403
